Date,Open,High,Low,Close,Share,Money,Numb
2000/5/6,8699.48 ,8774.25 ,8620.58 ,8657.13 ,2204717434,1.1682E+11,617054
2000/5/8,8669.47 ,8742.69 ,8538.50 ,8616.18 ,1624302000,84380367900,450402
2000/5/9,8607.65 ,8660.77 ,8566.64 ,8635.84 ,1710974952,90199897459,473110
2000/5/10,8693.87 ,8749.62 ,8559.87 ,8559.87 ,1657309853,93180094272,487664
2000/5/11,8427.34 ,8440.78 ,8281.68 ,8349.91 ,1814009431,1.01885E+11,531440
2000/5/12,8472.82 ,8603.87 ,8454.72 ,8560.44 ,2401668591,1.2332E+11,631973
2000/5/15,8639.94 ,8639.94 ,8461.27 ,8465.02 ,2060249969,94754342351,522868
2000/5/16,8534.18 ,8733.46 ,8496.44 ,8727.82 ,2118856450,1.20889E+11,589805
2000/5/17,8885.24 ,9131.86 ,8885.24 ,9085.74 ,3317969701,1.79672E+11,827143
2000/5/18,9040.33 ,9135.13 ,9002.03 ,9087.21 ,2744509136,1.5529E+11,742607
2000/5/19,9034.41 ,9146.59 ,9030.57 ,9119.77 ,2321188441,1.12959E+11,612281
2000/5/20,9093.14 ,9167.78 ,8700.19 ,8820.35 ,2485157223,1.26051E+11,679184
2000/5/22,8903.32 ,8967.36 ,8800.37 ,8807.57 ,1744115000,99348930600,485828
2000/5/23,8811.44 ,8820.73 ,8634.73 ,8671.01 ,1550577897,79650906486,443457
2000/5/24,8496.06 ,8623.12 ,8470.56 ,8500.41 ,1590476868,80212607678,463269
2000/5/25,8609.80 ,8643.66 ,8418.50 ,8438.10 ,1493925938,78577990371,438959
2000/5/26,8397.01 ,8578.32 ,8386.37 ,8559.46 ,1640596693,78123580298,436947
2000/5/29,8593.62 ,8701.61 ,8571.35 ,8588.25 ,1609548654,79368916411,436583
2000/5/30,8668.70 ,8764.42 ,8641.43 ,8764.42 ,1827369251,94884474179,502560
2000/5/31,8951.11 ,8969.65 ,8879.43 ,8939.52 ,2469678835,1.53431E+11,672442
2000/6/1,8936.43 ,8961.54 ,8815.43 ,8842.63 ,1495443488,82577720201,436652
2000/6/2,8979.78 ,9026.86 ,8880.98 ,8883.45 ,2008126375,1.23522E+11,559194
2000/6/3,9017.03 ,9059.88 ,8911.89 ,8935.64 ,2007489935,1.15503E+11,555212
2000/6/5,8961.36 ,8975.99 ,8894.82 ,8958.21 ,1625958000,90174116780,438824
2000/6/7,8943.63 ,9116.24 ,8943.63 ,9115.47 ,2222912453,1.4932E+11,648345
2000/6/8,9151.31 ,9209.48 ,9055.72 ,9067.88 ,2445835780,1.57041E+11,699543
2000/6/9,9113.07 ,9136.75 ,9011.20 ,9036.66 ,1858834514,1.15189E+11,529789
2000/6/12,9065.22 ,9083.85 ,8935.47 ,8955.44 ,1538396903,95922838080,455632
2000/6/13,8905.45 ,8984.13 ,8879.52 ,8891.09 ,1506233503,96052745834,464755
2000/6/14,8978.65 ,9014.27 ,8911.38 ,8935.23 ,1817579259,1.19012E+11,533912
